config_name,algorithm,seed,eval_day,algorithm_family,total_energy_charged_kwh,retail_revenue_cop,energy_purchase_cost_cop,gross_margin_cop,retail_tariff_cop_per_kwh,retail_tariff_month,energy_purchase_cost_cop_per_kwh,cu_tariff_month,cu_with_contribution
station_v0_bogota,ChargeAsFastAsPossible,42,2022-01-17,heuristic,240.9268738178905,349343.96703594126,208585.2116668876,140758.75536905366,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,RoundRobin,42,2022-01-17,heuristic,240.806523073348,349169.45845635456,208481.01662576635,140688.4418305882,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,ChargeAsFastAsPossible,0,2022-01-17,heuristic,214.4048646260611,310887.05370778864,185623.4772059556,125263.57650183304,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,ChargeAsFastAsPossible,0,2022-02-14,heuristic,214.4048646260611,310887.05370778864,185623.4772059556,125263.57650183304,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,ChargeAsFastAsPossible,0,2022-03-05,heuristic,201.79939566249263,292609.12371061434,174710.1474878531,117898.97622276124,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,ChargeAsFastAsPossible,0,2022-04-06,heuristic,214.4048646260611,310887.05370778864,185623.4772059556,125263.57650183304,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,ChargeAsFastAsPossible,0,2022-05-21,heuristic,201.79939566249263,292609.12371061434,174710.1474878531,117898.97622276124,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,ChargeAsFastAsPossible,0,2022-06-15,heuristic,214.4048646260611,310887.05370778864,185623.4772059556,125263.57650183304,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,ChargeAsFastAsPossible,0,2022-07-10,heuristic,201.79939566249263,292609.12371061434,174710.1474878531,117898.97622276124,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,ChargeAsFastAsPossible,0,2022-08-24,heuristic,214.4048646260611,310887.05370778864,185623.4772059556,125263.57650183304,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,ChargeAsFastAsPossible,0,2022-09-17,heuristic,201.79939566249263,292609.12371061434,174710.1474878531,117898.97622276124,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,ChargeAsFastAsPossible,0,2022-11-09,heuristic,214.4048646260611,310887.05370778864,185623.4772059556,125263.57650183304,1450.0,2025-08,865.7615,2026-08,True
station_v0_bogota,ChargeAsFastAsPossible,1,2022-01-17,heuristic,204.6390752862353,296726.6591650412,177168.632778424,119558.02638661716,1450.0,2025-08,865.7615,2026-08,True
