run_id,timestamp_utc,git_commit,config_name,n_ports,transformer_kw,oversubscription_ratio,algorithm,algorithm_family,seed,eval_day,sim_steps,runtime_s,notes,day_type,scenario_id,analysis_row,superseded,total_ev_served,total_profits,total_energy_charged,total_energy_discharged,average_user_satisfaction,power_tracker_violation,tracking_error,energy_tracking_error,energy_user_satisfaction,std_energy_user_satisfaction,min_energy_user_satisfaction,total_steps_min_emergency_battery_capacity_violation,total_transformer_overload,battery_degradation,battery_degradation_calendar,battery_degradation_cycling,total_reward,saved_grid_energy,voltage_violation,voltage_violation_counter
station_v0_bogota__ChargeAsFastAsPossible__seed42__week1ref,,05317b75b2c199f567445246f7dae09fb7632907,station_v0_bogota,8,100,4.0,ChargeAsFastAsPossible,heuristic,42,2022-01-17,96,,week1_reference_day,weekday,42_weekday,False,True,14,-56.91714903562084,240.9268738178905,,1.0,,,,,,,,0.13234199082138787,,,,,,,
station_v0_bogota__RoundRobin__seed42__week1ref,,05317b75b2c199f567445246f7dae09fb7632907,station_v0_bogota,8,100,4.0,RoundRobin,heuristic,42,2022-01-17,96,,week1_reference_day,weekday,42_weekday,False,True,14,-49.74138949066602,240.80652307334796,,1.0,,,,,,,,0.0,,,,,,,
station_v0_bogota__ChargeAsFastAsPossible__seed0__2022-01-17,2026-08-12T05:24:26.875232,05317b75b2c199f567445246f7dae09fb7632907,station_v0_bogota,8,100,4.0,ChargeAsFastAsPossible,heuristic,0,2022-01-17,96,5.0408,,weekday,0_weekday,False,True,14,-53.19652599733461,214.4048646260611,0,1.0,529.3013324680495,72374.24496713899,414.3577730023937,100.0,0.0,100.0,0,37.322524410576406,0.0004930151679125118,0.00022175417959997905,0.00027126098831253267,-37778.41983737414,0,0,0
station_v0_bogota__ChargeAsFastAsPossible__seed0__2022-02-14,2026-08-12T05:24:31.771011,05317b75b2c199f567445246f7dae09fb7632907,station_v0_bogota,8,100,4.0,ChargeAsFastAsPossible,heuristic,0,2022-02-14,96,4.8618,,weekday,0_weekday,False,True,14,-44.22352763022712,214.4048646260611,0,1.0,507.5417901377112,72198.48672494813,406.4110964046998,100.0,0.0,100.0,0,37.322524410576406,0.0004930151679125118,0.00022175417959997905,0.00027126098831253267,-38925.88414017652,0,0,0
station_v0_bogota__ChargeAsFastAsPossible__seed0__2022-03-05,2026-08-12T05:24:36.625534,05317b75b2c199f567445246f7dae09fb7632907,station_v0_bogota,8,100,4.0,ChargeAsFastAsPossible,heuristic,0,2022-03-05,96,4.8191,,weekend,0_weekend,False,True,14,-63.20716315270391,201.79939566249266,0,1.0,460.7127466296021,63868.866105670306,384.5396543696053,100.0,0.0,100.0,0,10.643063257983684,0.00046138504532386307,0.0002084798561739833,0.0002529051891498797,-28638.93816314427,0,0,0
station_v0_bogota__ChargeAsFastAsPossible__seed0__2022-04-06,2026-08-12T05:24:41.558825,05317b75b2c199f567445246f7dae09fb7632907,station_v0_bogota,8,100,4.0,ChargeAsFastAsPossible,heuristic,0,2022-04-06,96,4.8962,,weekday,0_weekday,False,True,14,-43.58766599972649,214.4048646260611,0,1.0,515.5625859436817,69393.94682509848,402.54751319869285,100.0,0.0,100.0,0,37.322524410576406,0.0004930151679125118,0.00022175417959997905,0.00027126098831253267,-38615.654775674324,0,0,0
station_v0_bogota__ChargeAsFastAsPossible__seed0__2022-05-21,2026-08-12T05:24:46.382837,05317b75b2c199f567445246f7dae09fb7632907,station_v0_bogota,8,100,4.0,ChargeAsFastAsPossible,heuristic,0,2022-05-21,96,4.7897,,weekend,0_weekend,False,True,14,-25.89040944216613,201.79939566249266,0,1.0,494.83604509476544,70291.81344060882,401.21005566568755,100.0,0.0,100.0,0,10.643063257983684,0.00046138504532386307,0.0002084798561739833,0.0002529051891498797,-32709.636170331854,0,0,0
station_v0_bogota__ChargeAsFastAsPossible__seed0__2022-06-15,2026-08-12T05:24:51.104869,05317b75b2c199f567445246f7dae09fb7632907,station_v0_bogota,8,100,4.0,ChargeAsFastAsPossible,heuristic,0,2022-06-15,96,4.6974,,weekday,0_weekday,False,True,14,-46.282293333226434,214.4048646260611,0,1.0,512.0095363164147,70786.49381636243,404.7960074724417,100.0,0.0,100.0,0,37.322524410576406,0.0004930151679125118,0.00022175417959997905,0.00027126098831253267,-38699.650016683016,0,0,0
station_v0_bogota__ChargeAsFastAsPossible__seed0__2022-07-10,2026-08-12T05:24:55.817092,05317b75b2c199f567445246f7dae09fb7632907,station_v0_bogota,8,100,4.0,ChargeAsFastAsPossible,heuristic,0,2022-07-10,96,4.6717,,weekend,0_weekend,False,True,14,-35.003367231233625,201.79939566249266,0,1.0,462.2654718963034,62344.09685857806,385.66991106400224,100.0,0.0,100.0,0,10.643063257983684,0.00046138504532386307,0.0002084798561739833,0.0002529051891498797,-28223.970871671456,0,0,0
station_v0_bogota__ChargeAsFastAsPossible__seed0__2022-08-24,2026-08-12T05:25:00.668643,05317b75b2c199f567445246f7dae09fb7632907,station_v0_bogota,8,100,4.0,ChargeAsFastAsPossible,heuristic,0,2022-08-24,96,4.8209,,weekday,0_weekday,False,True,14,-143.36314862928006,214.4048646260611,0,1.0,507.98117717652957,70509.96091658717,404.0458807515381,100.0,0.0,100.0,0,37.322524410576406,0.0004930151679125118,0.00022175417959997905,0.00027126098831253267,-38016.881608072756,0,0,0
station_v0_bogota__ChargeAsFastAsPossible__seed0__2022-09-17,2026-08-12T05:25:05.260498,05317b75b2c199f567445246f7dae09fb7632907,station_v0_bogota,8,100,4.0,ChargeAsFastAsPossible,heuristic,0,2022-09-17,96,4.561,,weekend,0_weekend,False,True,14,-20.99400085185401,201.79939566249266,0,1.0,477.3405856392184,64607.73868371895,393.7583160360778,100.0,0.0,100.0,0,10.643063257983684,0.00046138504532386307,0.0002084798561739833,0.0002529051891498797,-29496.24384134623,0,0,0
station_v0_bogota__ChargeAsFastAsPossible__seed0__2022-11-09,2026-08-12T05:25:09.742133,05317b75b2c199f567445246f7dae09fb7632907,station_v0_bogota,8,100,4.0,ChargeAsFastAsPossible,heuristic,0,2022-11-09,96,4.4427,,weekday,0_weekday,False,True,14,-35.829738240408574,214.4048646260611,0,1.0,513.921848487992,70533.72682474877,406.6631470022268,100.0,0.0,100.0,0,37.322524410576406,0.0004930151679125118,0.00022175417959997905,0.00027126098831253267,-37974.122149696785,0,0,0
station_v0_bogota__ChargeAsFastAsPossible__seed1__2022-01-17,2026-08-12T05:25:14.419291,05317b75b2c199f567445246f7dae09fb7632907,station_v0_bogota,8,100,4.0,ChargeAsFastAsPossible,heuristic,1,2022-01-17,96,4.6452,,weekday,1_weekday,False,True,14,-46.488775182559515,204.63907528623534,0,1.0,498.3927927154529,56510.71304325237,386.79939600139295,100.0,0.0,100.0,0,0.0,0.0004887923620380645,0.0002296943010718968,0.00025909806096616775,-29288.464655398744,0,0,0
station_v0_bogota__ChargeAsFastAsPossible__seed1__2022-02-14,2026-08-12T05:25:19.250747,05317b75b2c199f567445246f7dae09fb7632907,station_v0_bogota,8,100,4.0,ChargeAsFastAsPossible,heuristic,1,2022-02-14,96,4.804,,weekday,1_weekday,False,True,14,-40.33965743354644,204.63907528623534,0,1.0,483.8845533176585,53059.81340755184,372.5027521796106,100.0,0.0,100.0,0,0.0,0.0004887923620380645,0.0002296943010718968,0.00025909806096616775,-28169.464723099944,0,0,0
station_v0_bogota__ChargeAsFastAsPossible__seed1__2022-03-05,2026-08-12T05:25:23.872625,05317b75b2c199f567445246f7dae09fb7632907,station_v0_bogota,8,100,4.0,ChargeAsFastAsPossible,heuristic,1,2022-03-05,96,4.5879,,weekend,1_weekend,False,True,15,-72.0420031521816,213.4286628400754,0,1.0,461.8788201088996,59457.35950082327,389.25819749054324,100.0,0.0,100.0,0,0.0,0.0005111889214444689,0.00024303659756207238,0.00026815232388239656,-28891.975576029345,0,0,0
station_v0_bogota__ChargeAsFastAsPossible__seed1__2022-04-06,2026-08-12T05:25:28.629365,05317b75b2c199f567445246f7dae09fb7632907,station_v0_bogota,8,100,4.0,ChargeAsFastAsPossible,heuristic,1,2022-04-06,96,4.7247,,weekday,1_weekday,False,True,14,-40.95622894004077,204.63907528623534,0,1.0,488.76298821010573,54873.970978359495,376.2015826581946,100.0,0.0,100.0,0,0.0,0.0004887923620380645,0.0002296943010718968,0.00025909806096616775,-29001.122571843403,0,0,0
station_v0_bogota__ChargeAsFastAsPossible__seed1__2022-05-21,2026-08-12T05:25:33.444752,05317b75b2c199f567445246f7dae09fb7632907,station_v0_bogota,8,100,4.0,ChargeAsFastAsPossible,heuristic,1,2022-05-21,96,4.7941,,weekend,1_weekend,False,True,15,-30.931577573254533,213.4286628400754,0,1.0,471.3470415336425,62366.52755235308,392.38843342362804,100.0,0.0,100.0,0,0.0,0.0005111889214444689,0.00024303659756207238,0.00026815232388239656,-30656.427355614487,0,0,0
station_v0_bogota__ChargeAsFastAsPossible__seed1__2022-06-15,2026-08-12T05:25:38.249261,05317b75b2c199f567445246f7dae09fb7632907,station_v0_bogota,8,100,4.0,ChargeAsFastAsPossible,heuristic,1,2022-06-15,96,4.7658,,weekday,1_weekday,False,True,14,-44.90523666275209,204.63907528623534,0,1.0,480.6588031008256,53554.97666962165,368.6576999718923,100.0,0.0,100.0,0,0.0,0.0004887923620380645,0.0002296943010718968,0.00025909806096616775,-28366.31146845711,0,0,0
station_v0_bogota__ChargeAsFastAsPossible__seed1__2022-07-10,2026-08-12T05:25:42.783919,05317b75b2c199f567445246f7dae09fb7632907,station_v0_bogota,8,100,4.0,ChargeAsFastAsPossible,heuristic,1,2022-07-10,96,4.5057,,weekend,1_weekend,False,True,15,-31.806486985724938,213.4286628400754,0,1.0,428.51607967749703,54081.30163714335,372.39241518803385,100.0,0.0,100.0,0,0.0,0.0005111889214444689,0.00024303659756207238,0.00026815232388239656,-25847.032580636012,0,0,0
station_v0_bogota__ChargeAsFastAsPossible__seed1__2022-08-24,2026-08-12T05:25:47.678431,05317b75b2c199f567445246f7dae09fb7632907,station_v0_bogota,8,100,4.0,ChargeAsFastAsPossible,heuristic,1,2022-08-24,96,4.8673,,weekday,1_weekday,False,True,14,-134.73178112364894,204.63907528623534,0,1.0,482.2028525555545,53104.92229943902,365.23398065476835,100.0,0.0,100.0,0,0.0,0.0004887923620380645,0.0002296943010718968,0.00025909806096616775,-28460.117035063522,0,0,0
station_v0_bogota__ChargeAsFastAsPossible__seed1__2022-09-17,2026-08-12T05:25:52.406767,05317b75b2c199f567445246f7dae09fb7632907,station_v0_bogota,8,100,4.0,ChargeAsFastAsPossible,heuristic,1,2022-09-17,96,4.6937,,weekend,1_weekend,False,True,15,-21.433927206644604,213.4286628400754,0,1.0,454.7635327349153,55800.59183218349,383.8841492964419,100.0,0.0,100.0,0,0.0,0.0005111889214444689,0.00024303659756207238,0.00026815232388239656,-29772.319918320885,0,0,0
station_v0_bogota__ChargeAsFastAsPossible__seed1__2022-11-09,2026-08-12T05:25:57.228945,05317b75b2c199f567445246f7dae09fb7632907,station_v0_bogota,8,100,4.0,ChargeAsFastAsPossible,heuristic,1,2022-11-09,96,4.78,,weekday,1_weekday,False,True,14,-31.013126776957314,204.63907528623534,0,1.0,491.24308968435173,53688.641019971285,370.8616038476411,100.0,0.0,100.0,0,0.0,0.0004887923620380645,0.0002296943010718968,0.00025909806096616775,-28713.404053236663,0,0,0
