algorithm,n_rows,n_seeds,total_ev_served_mean,total_ev_served_ci_low,total_ev_served_ci_high,total_transformer_overload_mean,total_transformer_overload_ci_low,total_transformer_overload_ci_high,average_user_satisfaction_mean,average_user_satisfaction_ci_low,average_user_satisfaction_ci_high,min_energy_user_satisfaction_mean,min_energy_user_satisfaction_ci_low,min_energy_user_satisfaction_ci_high,tracking_error_mean,tracking_error_ci_low,tracking_error_ci_high,energy_tracking_error_mean,energy_tracking_error_ci_low,energy_tracking_error_ci_high,battery_degradation_mean,battery_degradation_ci_low,battery_degradation_ci_high
ChargeAsFastAsPossible,100,50,13.44,13.136972144494733,13.743027855505266,14.224736566656393,9.237152223299503,19.212320910013283,1.0,1.0,1.0,100.0,100.0,100.0,56257.26031914772,52651.35298208236,59863.167656213074,382.0113863550796,369.0181259699729,395.0046467401863,0.00047309245287237495,0.0004568666446976638,0.0004893182610470862
RoundRobin,100,50,13.44,13.136972144494733,13.743027855505266,0.0,0.0,0.0,0.9990921428571429,0.9985322477189178,0.999652037995368,98.79914285714285,98.12599322200302,99.47229249228269,13581.15365846288,12499.844209896932,14662.463107028827,145.62120527950887,139.47447080078007,151.76793975823767,0.000449894789712895,0.00043420766753304846,0.00046558191189274156
RandomPolicy,100,50,13.44,13.136972144494733,13.743027855505266,3.3164083739149617,1.5413426458666228,5.091474101963301,1.0,1.0,1.0,100.0,100.0,100.0,39857.75851613989,37289.44598952555,42426.07104275423,324.5809310950175,312.75315576146744,336.40870642856754,0.00045575584059759274,0.00044014782249482,0.00047136385870036546
Optimal_Oracle_Tracking,100,50,13.44,13.136972144494733,13.743027855505266,0.0,0.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,5936.919603217396,5459.636395509473,6414.202810925319,145.66263545069495,139.52875335487207,151.79651754651783,0.0004209303918949789,0.00040662725455059605,0.00043523352923936174
Optimal_Oracle_Balanced,100,50,13.44,13.136972144494733,13.743027855505266,0.0,0.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,5868.549042529825,5394.981612255979,6342.116472803671,144.8828688758182,138.7667755794354,150.99896217220098,0.000433675441872762,0.0004186679913682679,0.0004486828923772561
MPC_TrackingG2V,100,50,13.44,13.136972144494733,13.743027855505266,0.0,0.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,8585.914429957857,7876.98094919539,9294.847910720324,145.65514488444757,139.5246417133654,151.78564805552972,0.000424853652546762,0.0004104786936920594,0.0004392286114014646
MPC_EnergyMaxG2V,100,50,13.44,13.136972144494733,13.743027855505266,6.1914790254036234e-06,-8.571318150000014e-07,1.3240089865807248e-05,1.0,1.0,1.0,100.0,100.0,100.0,43135.36571653775,41086.81760016165,45183.91383291385,344.8638448255806,334.42962692034524,355.29806273081596,0.00044447731174913105,0.00042953367345627855,0.00045942095004198355
TD3_vanilla_ts100,100,50,13.44,13.136972144494733,13.743027855505266,4.983631206625729,2.273352328561101,7.693910084690357,0.9797995153061224,0.9754998125845513,0.9840992180276935,82.94257142857143,80.12972708329177,85.75541577385108,30887.604652308924,28644.65848154468,33130.55082307317,284.17864582097206,272.85296538925644,295.5043262526877,0.0004037957551620013,0.00038882100980426745,0.0004187705005197352
TD3_vanilla_ts101,100,50,13.44,13.136972144494733,13.743027855505266,4.483569891284004,2.1782683329597794,6.788871449608228,0.9806806798840628,0.9766230728158113,0.9847382869523144,83.26482603443412,80.78064214413989,85.74900992472836,34999.43227426023,32451.772853444767,37547.091695075695,301.7787307031522,290.32520558408186,313.2322558222225,0.0004126564469378006,0.00039625878760059143,0.00042905410627500974
TD3_vanilla_ts102,100,50,13.44,13.136972144494733,13.743027855505266,4.7017073394317315,2.2817067616714404,7.121707917192023,0.9834479976801568,0.9799129261416333,0.9869830692186803,83.9439869476589,81.21804301809496,86.66993087722284,34452.555393240225,32284.477736670233,36620.63304981022,299.34888588525797,288.7070667147692,309.99070505574673,0.0004165587018030421,0.00040027858302843093,0.00043283882057765325
TD3_TrackingOnly_ts100,100,50,13.44,13.136972144494733,13.743027855505266,10.875796454309322,6.406304419856006,15.345288488762638,0.9909251913265307,0.9882583519247342,0.9935920307283271,90.22442857142856,87.73314708125349,92.71571006160363,36471.94711620072,33902.392188004,39041.502044397435,307.2110885016584,295.58074032728143,318.8414366760354,0.00042583953792318675,0.0004102755733685063,0.0004414035024778672
TD3_TrackingOnly_ts101,100,50,13.44,13.136972144494733,13.743027855505266,9.274499274318273,5.650267710886891,12.898730837749657,0.982955477896629,0.9790153758672534,0.9868955799260045,85.6817820198403,83.05894932937777,88.30461471030283,33865.12811876586,31392.93864000462,36337.3175975271,296.65362303920546,285.2904483076205,308.0167977707904,0.0004170404851091752,0.0003995081759262996,0.0004345727942920508
TD3_TrackingOnly_ts102,100,50,13.44,13.136972144494733,13.743027855505266,4.637838178240388,2.401470393394808,6.874205963085968,0.9874354922280891,0.9841723579311173,0.9906986265250609,87.04014285714285,84.38932697203438,89.69095874225133,33449.708775484876,31345.990393190263,35553.427157779486,295.9887706263198,285.52474667761123,306.4527945750284,0.00042166030072652243,0.0004055300196871083,0.00043779058176593655
