algorithm,metric,oracle_variant,mean_abs_gap,pct_of_oracle_value,n_cells
ChargeAsFastAsPossible,tracking_error,Optimal_Oracle_Tracking,50320.340715930324,847.5833273649218,100
RoundRobin,tracking_error,Optimal_Oracle_Tracking,7644.234055245483,128.75758080171477,100
RandomPolicy,tracking_error,Optimal_Oracle_Tracking,33920.83891292249,571.3541900506749,100
MPC_TrackingG2V,tracking_error,Optimal_Oracle_Tracking,2648.994826740459,44.61901126814802,100
MPC_EnergyMaxG2V,tracking_error,Optimal_Oracle_Tracking,37198.44611332035,626.5613920923132,100
TD3_vanilla_ts100,tracking_error,Optimal_Oracle_Tracking,24950.68504909152,420.2631451429794,100
TD3_vanilla_ts101,tracking_error,Optimal_Oracle_Tracking,29062.51267104283,489.5217488761845,100
TD3_vanilla_ts102,tracking_error,Optimal_Oracle_Tracking,28515.635790022825,480.31029045044403,100
TD3_TrackingOnly_ts100,tracking_error,Optimal_Oracle_Tracking,30535.027512983324,514.3244233328588,100
TD3_TrackingOnly_ts101,tracking_error,Optimal_Oracle_Tracking,27928.20851554846,470.4158112636951,100
TD3_TrackingOnly_ts102,tracking_error,Optimal_Oracle_Tracking,27512.78917226748,463.41859097026463,100
ChargeAsFastAsPossible,average_user_satisfaction,Optimal_Oracle_Balanced,0.0,0.0,100
RoundRobin,average_user_satisfaction,Optimal_Oracle_Balanced,0.0009078571428571447,0.09078571428571447,100
RandomPolicy,average_user_satisfaction,Optimal_Oracle_Balanced,0.0,0.0,100
MPC_TrackingG2V,average_user_satisfaction,Optimal_Oracle_Balanced,0.0,0.0,100
MPC_EnergyMaxG2V,average_user_satisfaction,Optimal_Oracle_Balanced,0.0,0.0,100
TD3_vanilla_ts100,average_user_satisfaction,Optimal_Oracle_Balanced,0.020200484693877554,2.0200484693877554,100
TD3_vanilla_ts101,average_user_satisfaction,Optimal_Oracle_Balanced,0.019319320115937275,1.9319320115937275,100
TD3_vanilla_ts102,average_user_satisfaction,Optimal_Oracle_Balanced,0.01655200231984312,1.655200231984312,100
TD3_TrackingOnly_ts100,average_user_satisfaction,Optimal_Oracle_Balanced,0.009074808673469388,0.9074808673469388,100
TD3_TrackingOnly_ts101,average_user_satisfaction,Optimal_Oracle_Balanced,0.017044522103371172,1.7044522103371171,100
TD3_TrackingOnly_ts102,average_user_satisfaction,Optimal_Oracle_Balanced,0.012564507771911032,1.2564507771911033,100
ChargeAsFastAsPossible,min_energy_user_satisfaction,Optimal_Oracle_Balanced,0.0,0.0,100
RoundRobin,min_energy_user_satisfaction,Optimal_Oracle_Balanced,1.2008571428571428,1.2008571428571428,100
RandomPolicy,min_energy_user_satisfaction,Optimal_Oracle_Balanced,0.0,0.0,100
MPC_TrackingG2V,min_energy_user_satisfaction,Optimal_Oracle_Balanced,0.0,0.0,100
MPC_EnergyMaxG2V,min_energy_user_satisfaction,Optimal_Oracle_Balanced,0.0,0.0,100
TD3_vanilla_ts100,min_energy_user_satisfaction,Optimal_Oracle_Balanced,17.05742857142857,17.05742857142857,100
TD3_vanilla_ts101,min_energy_user_satisfaction,Optimal_Oracle_Balanced,16.735173965565878,16.735173965565878,100
TD3_vanilla_ts102,min_energy_user_satisfaction,Optimal_Oracle_Balanced,16.056013052341104,16.056013052341104,100
TD3_TrackingOnly_ts100,min_energy_user_satisfaction,Optimal_Oracle_Balanced,9.775571428571428,9.775571428571428,100
TD3_TrackingOnly_ts101,min_energy_user_satisfaction,Optimal_Oracle_Balanced,14.318217980159698,14.318217980159698,100
TD3_TrackingOnly_ts102,min_energy_user_satisfaction,Optimal_Oracle_Balanced,12.959857142857143,12.959857142857143,100
