seed,eval_day,R,n_departing,n_still_connected,still_connected_energy
0,2022-01-17,214.45524423361016,14,0,0.0
0,2022-03-05,201.8448625745372,14,0,0.0
1,2022-01-17,204.68352343184705,14,0,0.0
1,2022-03-05,213.46983577298727,15,0,0.0
2,2022-01-17,155.16323484265303,12,0,0.0
2,2022-03-05,230.98012743156494,14,0,0.0
3,2022-01-17,202.63830590531484,13,0,0.0
3,2022-03-05,195.6681794544919,13,0,0.0
4,2022-01-17,183.4011449515728,13,0,0.0
4,2022-03-05,176.6899658526883,13,0,0.0
5,2022-01-17,181.39615656492447,15,0,0.0
5,2022-03-05,132.99118720983387,12,0,0.0
6,2022-01-17,138.2261889917488,11,0,0.0
6,2022-03-05,150.13505933435883,12,0,0.0
7,2022-01-17,244.5062514673909,15,0,0.0
7,2022-03-05,239.45976627670223,15,0,0.0
8,2022-01-17,297.11446662009905,15,0,0.0
8,2022-03-05,253.4702870163383,14,0,0.0
9,2022-01-17,210.23982502837296,15,0,0.0
9,2022-03-05,171.85678717337447,11,0,0.0
10,2022-01-17,188.00187773070462,13,0,0.0
10,2022-03-05,180.29943026818657,13,0,0.0
11,2022-01-17,203.78952030407535,13,0,0.0
11,2022-03-05,179.11530240899413,12,0,0.0
12,2022-01-17,203.12575225842033,15,0,0.0
12,2022-03-05,193.58757736914922,14,0,0.0
13,2022-01-17,263.6253099265376,16,0,0.0
13,2022-03-05,236.1196694924451,15,0,0.0
14,2022-01-17,222.01092481768205,11,0,0.0
14,2022-03-05,215.08465448989816,11,0,0.0
15,2022-01-17,197.59416404386525,15,0,0.0
15,2022-03-05,179.1039714724762,14,0,0.0
16,2022-01-17,221.18153792451085,16,0,0.0
16,2022-03-05,215.5964547935754,16,0,0.0
17,2022-01-17,196.4297118832579,12,0,0.0
17,2022-03-05,203.87836017372982,14,0,0.0
18,2022-01-17,209.8111681453323,14,0,0.0
18,2022-03-05,169.21095531071506,13,0,0.0
19,2022-01-17,157.57209727878097,12,0,0.0
19,2022-03-05,200.35842258819173,15,0,0.0
20,2022-01-17,251.07689626794124,15,0,0.0
20,2022-03-05,236.35954417488492,14,0,0.0
21,2022-01-17,157.3546695780554,12,0,0.0
21,2022-03-05,186.53164132622453,14,0,0.0
22,2022-01-17,207.75877183590308,15,0,0.0
22,2022-03-05,196.79898646483437,15,0,0.0
23,2022-01-17,247.96198640626233,16,0,0.0
23,2022-03-05,232.65834949215537,15,0,0.0
24,2022-01-17,176.29868069168367,13,0,0.0
24,2022-03-05,163.60717223155143,12,0,0.0
25,2022-01-17,254.49488449727377,14,0,0.0
25,2022-03-05,229.76015773147813,13,0,0.0
26,2022-01-17,173.29322990242275,13,0,0.0
26,2022-03-05,169.32413002335764,13,0,0.0
27,2022-01-17,258.73352600785006,14,0,0.0
27,2022-03-05,277.6474092996307,15,0,0.0
28,2022-01-17,184.1843817962258,13,0,0.0
28,2022-03-05,213.40845151072494,15,0,0.0
29,2022-01-17,189.3765472201402,12,0,0.0
29,2022-03-05,201.25832632717243,13,0,0.0
30,2022-01-17,231.80288590953364,16,0,0.0
30,2022-03-05,177.8305820607166,15,0,0.0
31,2022-01-17,162.885114201231,12,0,0.0
31,2022-03-05,137.13425591977978,10,0,0.0
32,2022-01-17,184.6462613760714,12,0,0.0
32,2022-03-05,155.2363306464967,11,0,0.0
33,2022-01-17,232.0891792831666,15,0,0.0
33,2022-03-05,228.82661185122058,15,0,0.0
34,2022-01-17,195.10530814284445,15,0,0.0
34,2022-03-05,157.31554844248353,13,0,0.0
35,2022-01-17,212.24403454820947,13,0,0.0
35,2022-03-05,210.79949136187398,14,0,0.0
36,2022-01-17,258.3941981731553,15,0,0.0
36,2022-03-05,174.76106417404216,11,0,0.0
37,2022-01-17,223.56667256987646,14,0,0.0
37,2022-03-05,165.3092173844786,11,0,0.0
38,2022-01-17,216.6893789482603,12,0,0.0
38,2022-03-05,198.29549335372545,11,0,0.0
39,2022-01-17,182.3191080994636,11,0,0.0
39,2022-03-05,174.84327305620099,11,0,0.0
40,2022-01-17,258.1024400511501,15,0,0.0
40,2022-03-05,156.70357129248424,11,0,0.0
41,2022-01-17,156.66459148306902,12,0,0.0
41,2022-03-05,148.87555530652006,12,0,0.0
42,2022-01-17,240.98765321725227,14,0,0.0
42,2022-03-05,207.8667513490321,13,0,0.0
43,2022-01-17,153.78802404912605,10,0,0.0
43,2022-03-05,167.2456199015754,12,0,0.0
44,2022-01-17,145.3286836986017,12,0,0.0
44,2022-03-05,131.69147992769388,12,0,0.0
45,2022-01-17,206.83313467257483,13,0,0.0
45,2022-03-05,195.56253823867246,13,0,0.0
46,2022-01-17,272.72976335215844,15,0,0.0
46,2022-03-05,276.6956122409052,15,0,0.0
47,2022-01-17,185.20318873679406,14,0,0.0
47,2022-03-05,180.23055847908097,14,0,0.0
48,2022-01-17,305.1872694143928,16,0,0.0
48,2022-03-05,274.0427989740225,15,0,0.0
49,2022-01-17,205.51313166389738,14,0,0.0
49,2022-03-05,225.63393240270653,15,0,0.0
