seed,mean_overload_kwh,max_overload_kwh
0,23.982793834280045,37.322524410576406
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,16.834567398189648,33.669134796379296
7,34.92655722319027,69.85311444638054
8,26.72459488697548,53.44918977395096
9,9.075548987827801,18.151097975655603
10,0.0,0.0
11,0.0,0.0
12,11.557302537840094,14.308478559712853
13,3.1183144516233767,6.2366289032467535
14,27.343063257983644,54.68612651596729
15,0.0,0.0
16,14.225846128874025,28.45169225774805
17,0.0,0.0
18,0.0,0.0
19,44.512086855983895,47.19388972369407
20,26.484594886975472,52.969189773950944
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,43.53296746219175,87.0659349243835
28,45.188487633494304,49.64918977395098
29,20.065459075098346,40.13091815019669
30,13.88306325798365,27.7661265159673
31,11.883063257983665,23.76612651596733
32,0.0,0.0
33,24.82459488697549,49.64918977395098
34,13.88306325798365,27.7661265159673
35,0.0,0.0
36,0.0,0.0
37,6.1789719291662735,12.357943858332547
38,0.0,0.0
39,18.600313747653473,37.20062749530695
40,26.32009384812622,52.64018769625244
41,16.623215002769,33.246430005538
42,25.821442553236018,51.51054311565065
43,0.0,0.0
44,0.0,0.0
45,11.883063257983665,23.76612651596733
46,61.319686816192906,120.8024496741414
47,28.98612651596732,57.97225303193464
48,78.63335049329467,120.01531628991829
49,24.82459488697549,49.64918977395098
